title,cast,crew
Superman Returns,"[{'cast_id': 3, 'character': 'Superman / Clark Kent', 'credit_id': '52fe42f8c3a36847f8030b65', 'gender': 2, 'id': 17271, 'name': 'Brandon Routh', 'order': 0}, {'cast_id': 1, 'character': 'Lex Luthor', 'credit_id': '52fe42f8c3a36847f8030b61', 'gender': 2, 'id': 1979, 'name': 'Kevin Spacey', 'order': 1}, {'cast_id': 4, 'character': 'Lois Lane', 'credit_id': '52fe42f8c3a36847f8030b69', 'gender': 1, 'id': 7517, 'name': 'Kate Bosworth', 'order': 2}]","[{'credit_id': '553bef6a9251416874003c8f', 'department': 'Production', 'gender': 2, 'id': 3276, 'job': 'Casting', 'name': 'Roger Mussenden'}, {'credit_id': '553bee5592514135c800283e', 'department': 'Production', 'gender': 2, 'id': 3805, 'job': 'Producer', 'name': 'Jon Peters'}, {'credit_id': '52fe42f8c3a36847f8030bb1', 'department': 'Production', 'gender': 0, 'id': 13192, 'job': 'Production Manager', 'name': 'Diane Macke'}]"
Quantum of Solace,"[{'cast_id': 1, 'character': 'James Bond', 'credit_id': '52fe43b29251416c7501aa5d', 'gender': 2, 'id': 8784, 'name': 'Daniel Craig', 'order': 0}, {'cast_id': 17, 'character': 'Camille Montes', 'credit_id': '52fe43b29251416c7501aab5', 'gender': 1, 'id': 18182, 'name': 'Olga Kurylenko', 'order': 1}, {'cast_id': 18, 'character': 'Dominic Greene', 'credit_id': '52fe43b29251416c7501aab9', 'gender': 2, 'id': 8789, 'name': 'Mathieu Amalric', 'order': 2}]","[{'credit_id': '52fe43b29251416c7501aa63', 'department': 'Writing', 'gender': 2, 'id': 455, 'job': 'Screenplay', 'name': 'Paul Haggis'}, {'credit_id': '52fe43b29251416c7501aab1', 'department': 'Art', 'gender': 2, 'id': 4248, 'job': 'Production Design', 'name': 'Dennis Gassner'}, {'credit_id': '562d3d97c3a3681b4d0098c7', 'department': 'Writing', 'gender': 2, 'id': 9856, 'job': 'Characters', 'name': 'Ian Fleming'}]"
Pirates of the Caribbean: Dead Man's Chest,"[{'cast_id': 37, 'character': 'Captain Jack Sparrow', 'credit_id': '52fe4212c3a36847f80018c3', 'gender': 2, 'id': 85, 'name': 'Johnny Depp', 'order': 0}, {'cast_id': 3, 'character': 'Will Turner', 'credit_id': '52fe4211c3a36847f8001823', 'gender': 2, 'id': 114, 'name': 'Orlando Bloom', 'order': 1}, {'cast_id': 2, 'character': 'Elizabeth Swann', 'credit_id': '52fe4211c3a36847f800181f', 'gender': 1, 'id': 116, 'name': 'Keira Knightley', 'order': 2}]","[{'credit_id': '52fe4211c3a36847f8001873', 'department': 'Camera', 'gender': 2, 'id': 120, 'job': 'Director of Photography', 'name': 'Dariusz Wolski'}, {'credit_id': '52fe4211c3a36847f800182d', 'department': 'Directing', 'gender': 2, 'id': 1704, 'job': 'Director', 'name': 'Gore Verbinski'}, {'credit_id': '52fe4211c3a36847f8001849', 'department': 'Production', 'gender': 2, 'id': 770, 'job': 'Producer', 'name': 'Jerry Bruckheimer'}]"
The Lone Ranger,"[{'cast_id': 4, 'character': 'Tonto', 'credit_id': '52fe4928c3a36847f818be99', 'gender': 2, 'id': 85, 'name': 'Johnny Depp', 'order': 0}, {'cast_id': 5, 'character': 'John Reid / The Lone Ranger', 'credit_id': '52fe4928c3a36847f818be9d', 'gender': 2, 'id': 53807, 'name': 'Armie Hammer', 'order': 1}, {'cast_id': 9, 'character': 'Butch Cavendish', 'credit_id': '52fe4928c3a36847f818bead', 'gender': 2, 'id': 886, 'name': 'William Fichtner', 'order': 2}]","[{'credit_id': '52fe4928c3a36847f818be95', 'department': 'Directing', 'gender': 2, 'id': 1704, 'job': 'Director', 'name': 'Gore Verbinski'}, {'credit_id': '52fe4928c3a36847f818bef9', 'department': 'Production', 'gender': 2, 'id': 1704, 'job': 'Producer', 'name': 'Gore Verbinski'}, {'credit_id': '52fe4928c3a36847f818bef3', 'department': 'Production', 'gender': 2, 'id': 770, 'job': 'Producer', 'name': 'Jerry Bruckheimer'}]"
Man of Steel,"[{'cast_id': 2, 'character': 'Clark Kent / Kal-El', 'credit_id': '52fe4799c3a36847f813e605', 'gender': 2, 'id': 73968, 'name': 'Henry Cavill', 'order': 0}, {'cast_id': 3, 'character': 'Lois Lane', 'credit_id': '52fe4799c3a36847f813e609', 'gender': 1, 'id': 9273, 'name': 'Amy Adams', 'order': 1}, {'cast_id': 9, 'character': 'General Zod', 'credit_id': '52fe4799c3a36847f813e61b', 'gender': 2, 'id': 335, 'name': 'Michael Shannon', 'order': 2}]","[{'credit_id': '52fe4799c3a36847f813e667', 'department': 'Sound', 'gender': 2, 'id': 947, 'job': 'Original Music Composer', 'name': 'Hans Zimmer'}, {'credit_id': '52fe4799c3a36847f813e67f', 'department': 'Production', 'gender': 0, 'id': 282, 'job': 'Producer', 'name': 'Charles Roven'}, {'credit_id': '52fe4799c3a36847f813e679', 'department': 'Production', 'gender': 2, 'id': 286, 'job': 'Executive Producer', 'name': 'Lloyd Phillips'}]"
The Chronicles of Narnia: Prince Caspian,"[{'cast_id': 1, 'character': 'Prince Caspian', 'credit_id': '52fe4358c3a36847f804d6ad', 'gender': 2, 'id': 25130, 'name': 'Ben Barnes', 'order': 0}, {'cast_id': 3, 'character': 'Peter Pevensie', 'credit_id': '52fe4358c3a36847f804d6b5', 'gender': 2, 'id': 5528, 'name': 'William Moseley', 'order': 1}, {'cast_id': 4, 'character': 'Susan Pevensie', 'credit_id': '52fe4358c3a36847f804d6b9', 'gender': 1, 'id': 5529, 'name': 'Anna Popplewell', 'order': 2}]","[{'credit_id': '55a239e69251412979002e8b', 'department': 'Production', 'gender': 1, 'id': 1326, 'job': 'Casting', 'name': 'Liz Mullane'}, {'credit_id': '52fe4359c3a36847f804d729', 'department': 'Production', 'gender': 2, 'id': 2073, 'job': 'Casting', 'name': 'Gail Stevens'}, {'credit_id': '5765ae3bc3a3687fc80004c6', 'department': 'Production', 'gender': 0, 'id': 4854, 'job': 'Associate Producer', 'name': 'David Minkowski'}]"
The Avengers,"[{'cast_id': 46, 'character': 'Tony Stark / Iron Man', 'credit_id': '52fe4495c3a368484e02b251', 'gender': 2, 'id': 3223, 'name': 'Robert Downey Jr.', 'order': 0}, {'cast_id': 2, 'character': 'Steve Rogers / Captain America', 'credit_id': '52fe4495c3a368484e02b19b', 'gender': 2, 'id': 16828, 'name': 'Chris Evans', 'order': 1}, {'cast_id': 32, 'character': 'Bruce Banner / The Hulk', 'credit_id': '52fe4495c3a368484e02b221', 'gender': 2, 'id': 103, 'name': 'Mark Ruffalo', 'order': 2}]","[{'credit_id': '52fe4495c3a368484e02b1cf', 'department': 'Sound', 'gender': 2, 'id': 37, 'job': 'Original Music Composer', 'name': 'Alan Silvestri'}, {'credit_id': '5496018d9251416e1e0047c3', 'department': 'Sound', 'gender': 0, 'id': 900, 'job': 'Sound Designer', 'name': 'Christopher Boyes'}, {'credit_id': '549601ad9251412c4e00333b', 'department': 'Sound', 'gender': 0, 'id': 900, 'job': 'Sound Re-Recording Mixer', 'name': 'Christopher Boyes'}]"
Pirates of the Caribbean: On Stranger Tides,"[{'cast_id': 15, 'character': 'Captain Jack Sparrow', 'credit_id': '52fe431cc3a36847f803af13', 'gender': 2, 'id': 85, 'name': 'Johnny Depp', 'order': 0}, {'cast_id': 7, 'character': 'Angelica Teach', 'credit_id': '52fe431cc3a36847f803aef5', 'gender': 1, 'id': 955, 'name': 'Penélope Cruz', 'order': 1}, {'cast_id': 2, 'character': 'Captain Edward ""Blackbeard"" Teach', 'credit_id': '52fe431cc3a36847f803aed9', 'gender': 2, 'id': 6972, 'name': 'Ian McShane', 'order': 2}]","[{'credit_id': '566b4f54c3a3683f56005151', 'department': 'Camera', 'gender': 2, 'id': 120, 'job': 'Director of Photography', 'name': 'Dariusz Wolski'}, {'credit_id': '52fe431cc3a36847f803aedf', 'department': 'Production', 'gender': 2, 'id': 770, 'job': 'Producer', 'name': 'Jerry Bruckheimer'}, {'credit_id': '52fe431cc3a36847f803af33', 'department': 'Writing', 'gender': 2, 'id': 1705, 'job': 'Screenplay', 'name': 'Ted Elliott'}]"
Men in Black 3,"[{'cast_id': 4, 'character': 'Agent J', 'credit_id': '52fe45b7c3a36847f80d6875', 'gender': 2, 'id': 2888, 'name': 'Will Smith', 'order': 0}, {'cast_id': 5, 'character': 'Agent K', 'credit_id': '52fe45b7c3a36847f80d6879', 'gender': 2, 'id': 2176, 'name': 'Tommy Lee Jones', 'order': 1}, {'cast_id': 6, 'character': 'Young Agent K', 'credit_id': '52fe45b7c3a36847f80d687d', 'gender': 2, 'id': 16851, 'name': 'Josh Brolin', 'order': 2}]","[{'credit_id': '52fe45b7c3a36847f80d68c7', 'department': 'Production', 'gender': 2, 'id': 488, 'job': 'Executive Producer', 'name': 'Steven Spielberg'}, {'credit_id': '52fe45b7c3a36847f80d689d', 'department': 'Sound', 'gender': 2, 'id': 531, 'job': 'Original Music Composer', 'name': 'Danny Elfman'}, {'credit_id': '52fe45b7c3a36847f80d68d9', 'department': 'Production', 'gender': 1, 'id': 1484, 'job': 'Casting', 'name': 'Ellen Chenoweth'}]"
The Hobbit: The Battle of the Five Armies,"[{'cast_id': 10, 'character': 'Bilbo Baggins', 'credit_id': '52fe4a87c3a368484e158b93', 'gender': 2, 'id': 7060, 'name': 'Martin Freeman', 'order': 0}, {'cast_id': 20, 'character': 'Gandalf', 'credit_id': '52fe4a87c3a368484e158bb7', 'gender': 2, 'id': 1327, 'name': 'Ian McKellen', 'order': 1}, {'cast_id': 17, 'character': 'Thorin Oakenshield', 'credit_id': '52fe4a87c3a368484e158bab', 'gender': 2, 'id': 30315, 'name': 'Richard Armitage', 'order': 2}]","[{'credit_id': '548ad49a9251414fa20011ab', 'department': 'Sound', 'gender': 2, 'id': 117, 'job': 'Original Music Composer', 'name': 'Howard Shore'}, {'credit_id': '553620f0c3a3683443004bf4', 'department': 'Sound', 'gender': 0, 'id': 900, 'job': 'Sound Re-Recording Mixer', 'name': 'Christopher Boyes'}, {'credit_id': '52fe4a87c3a368484e158b65', 'department': 'Directing', 'gender': 2, 'id': 108, 'job': 'Director', 'name': 'Peter Jackson'}]"
The Amazing Spider-Man,"[{'cast_id': 56, 'character': 'Peter Parker / Spider-Man', 'credit_id': '531325d5c3a368299b0040db', 'gender': 2, 'id': 37625, 'name': 'Andrew Garfield', 'order': 0}, {'cast_id': 57, 'character': 'Gwen Stacy', 'credit_id': '531325e8c3a36829ef003f5b', 'gender': 1, 'id': 54693, 'name': 'Emma Stone', 'order': 1}, {'cast_id': 58, 'character': 'Dr. Curt Connors / The Lizard', 'credit_id': '53132617c3a3682a10003f35', 'gender': 2, 'id': 7026, 'name': 'Rhys Ifans', 'order': 2}]","[{'credit_id': '5395a60dc3a368641d004492', 'department': 'Production', 'gender': 1, 'id': 6410, 'job': 'Casting', 'name': 'Francine Maisler'}, {'credit_id': '52fe4323c3a36847f803d19b', 'department': 'Camera', 'gender': 2, 'id': 892, 'job': 'Director of Photography', 'name': 'John Schwartzman'}, {'credit_id': '52fe4323c3a36847f803d1a7', 'department': 'Editing', 'gender': 2, 'id': 950, 'job': 'Editor', 'name': 'Pietro Scalia'}]"
Robin Hood,"[{'cast_id': 1, 'character': 'Robin Longstride', 'credit_id': '52fe43f2c3a368484e007699', 'gender': 2, 'id': 934, 'name': 'Russell Crowe', 'order': 0}, {'cast_id': 2, 'character': 'Marion Loxley', 'credit_id': '52fe43f2c3a368484e00769d', 'gender': 1, 'id': 112, 'name': 'Cate Blanchett', 'order': 1}, {'cast_id': 14, 'character': 'Sir Walter Loxley', 'credit_id': '52fe43f2c3a368484e0076dd', 'gender': 2, 'id': 2201, 'name': 'Max von Sydow', 'order': 2}]","[{'credit_id': '52fe43f2c3a368484e0076ad', 'department': 'Production', 'gender': 2, 'id': 339, 'job': 'Producer', 'name': 'Brian Grazer'}, {'credit_id': '536a0d66c3a3681241007de0', 'department': 'Production', 'gender': 1, 'id': 474, 'job': 'Casting', 'name': 'Jina Jay'}, {'credit_id': '52fe43f2c3a368484e0076a7', 'department': 'Directing', 'gender': 2, 'id': 578, 'job': 'Director', 'name': 'Ridley Scott'}]"
The Hobbit: The Desolation of Smaug,"[{'cast_id': 3, 'character': 'Bilbo Baggins', 'credit_id': '52fe4926c3a36847f818b775', 'gender': 2, 'id': 7060, 'name': 'Martin Freeman', 'order': 0}, {'cast_id': 7, 'character': 'Gandalf', 'credit_id': '52fe4926c3a36847f818b779', 'gender': 2, 'id': 1327, 'name': 'Ian McKellen', 'order': 1}, {'cast_id': 26, 'character': 'Thorin Oakenshield', 'credit_id': '52fe4926c3a36847f818b7c9', 'gender': 2, 'id': 30315, 'name': 'Richard Armitage', 'order': 2}]","[{'credit_id': '52fe4926c3a36847f818b787', 'department': 'Sound', 'gender': 2, 'id': 117, 'job': 'Original Music Composer', 'name': 'Howard Shore'}, {'credit_id': '52fe4926c3a36847f818b771', 'department': 'Directing', 'gender': 2, 'id': 108, 'job': 'Director', 'name': 'Peter Jackson'}, {'credit_id': '52fe4926c3a36847f818b7a3', 'department': 'Writing', 'gender': 2, 'id': 108, 'job': 'Screenplay', 'name': 'Peter Jackson'}]"
The Golden Compass,"[{'cast_id': 43, 'character': 'Lyra Belacqua', 'credit_id': '52fe4348c3a36847f80486af', 'gender': 1, 'id': 45589, 'name': 'Dakota Blue Richards', 'order': 0}, {'cast_id': 21, 'character': 'Marisa Coulter', 'credit_id': '52fe4348c3a36847f8048651', 'gender': 1, 'id': 2227, 'name': 'Nicole Kidman', 'order': 1}, {'cast_id': 22, 'character': 'Lord Asriel', 'credit_id': '52fe4348c3a36847f8048655', 'gender': 2, 'id': 8784, 'name': 'Daniel Craig', 'order': 2}]","[{'credit_id': '52fe4348c3a36847f8048635', 'department': 'Art', 'gender': 1, 'id': 8384, 'job': 'Set Decoration', 'name': 'Anna Pinnock'}, {'credit_id': '52fe4348c3a36847f8048673', 'department': 'Production', 'gender': 2, 'id': 1309, 'job': 'Executive Producer', 'name': 'Mark Ordesky'}, {'credit_id': '52fe4348c3a36847f8048667', 'department': 'Production', 'gender': 2, 'id': 1311, 'job': 'Executive Producer', 'name': 'Michael Lynne'}]"
King Kong,"[{'cast_id': 5, 'character': 'Ann Darrow', 'credit_id': '52fe422ec3a36847f800a19f', 'gender': 1, 'id': 3489, 'name': 'Naomi Watts', 'order': 0}, {'cast_id': 6, 'character': 'Carl Denham', 'credit_id': '52fe422ec3a36847f800a1a3', 'gender': 2, 'id': 70851, 'name': 'Jack Black', 'order': 1}, {'cast_id': 7, 'character': 'Jack Driscoll', 'credit_id': '52fe422ec3a36847f800a1a7', 'gender': 2, 'id': 3490, 'name': 'Adrien Brody', 'order': 2}]","[{'credit_id': '52fe422ec3a36847f800a1d7', 'department': 'Sound', 'gender': 2, 'id': 1213, 'job': 'Original Music Composer', 'name': 'James Newton Howard'}, {'credit_id': '52fe422ec3a36847f800a189', 'department': 'Directing', 'gender': 2, 'id': 108, 'job': 'Director', 'name': 'Peter Jackson'}, {'credit_id': '52fe422ec3a36847f800a19b', 'department': 'Writing', 'gender': 2, 'id': 108, 'job': 'Author', 'name': 'Peter Jackson'}]"
Titanic,"[{'cast_id': 20, 'character': 'Rose DeWitt Bukater', 'credit_id': '52fe425ac3a36847f80179cb', 'gender': 1, 'id': 204, 'name': 'Kate Winslet', 'order': 0}, {'cast_id': 21, 'character': 'Jack Dawson', 'credit_id': '52fe425ac3a36847f80179cf', 'gender': 2, 'id': 6193, 'name': 'Leonardo DiCaprio', 'order': 1}, {'cast_id': 22, 'character': 'Ruth Dewitt Bukater', 'credit_id': '52fe425ac3a36847f80179d3', 'gender': 1, 'id': 3713, 'name': 'Frances Fisher', 'order': 2}]","[{'credit_id': '52fe425ac3a36847f8017985', 'department': 'Production', 'gender': 1, 'id': 1262, 'job': 'Casting', 'name': 'Mali Finn'}, {'credit_id': '52fe425ac3a36847f8017967', 'department': 'Sound', 'gender': 2, 'id': 1729, 'job': 'Original Music Composer', 'name': 'James Horner'}, {'credit_id': '52fe425ac3a36847f8017961', 'department': 'Writing', 'gender': 2, 'id': 2710, 'job': 'Screenplay', 'name': 'James Cameron'}]"
Captain America: Civil War,"[{'cast_id': 9, 'character': 'Steve Rogers / Captain America', 'credit_id': '543ecb490e0a2667450001db', 'gender': 2, 'id': 16828, 'name': 'Chris Evans', 'order': 0}, {'cast_id': 10, 'character': 'Tony Stark / Iron Man', 'credit_id': '543ecb5fc3a3684fe90001a9', 'gender': 2, 'id': 3223, 'name': 'Robert Downey Jr.', 'order': 1}, {'cast_id': 14, 'character': 'Natasha Romanoff / Black Widow', 'credit_id': '54b95becc3a3686c6800520e', 'gender': 1, 'id': 1245, 'name': 'Scarlett Johansson', 'order': 2}]","[{'credit_id': '569443d59251414b67000428', 'department': 'Art', 'gender': 2, 'id': 2529, 'job': 'Set Decoration', 'name': 'Ronald R. Reiss'}, {'credit_id': '56e5521d92514115ec003f7b', 'department': 'Sound', 'gender': 2, 'id': 3996, 'job': 'Sound Re-Recording Mixer', 'name': 'Tom Johnson'}, {'credit_id': '569443729251414b7200040d', 'department': 'Production', 'gender': 1, 'id': 7232, 'job': 'Casting', 'name': 'Sarah Finn'}]"
